colour,word,congruent,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,response.keys,response.corr,response.rt,thank.keys,thank.rt,date,frameRate,expName,session,participant,
red,red,1,r,0,0,0,0,r,1,0.493609905243,,,2018_feb_10_1729,470.878595325,stroop,001,ela,
red,blue,0,r,0,1,1,1,r,1,2.03213405609,,,2018_feb_10_1729,470.878595325,stroop,001,ela,
green,blue,0,g,0,2,2,2,g,1,1.69559383392,,,2018_feb_10_1729,470.878595325,stroop,001,ela,
green,green,1,g,0,3,3,3,g,1,0.953690052032,,,2018_feb_10_1729,470.878595325,stroop,001,ela,
yellow,red,0,y,0,4,4,4,y,1,1.76827907562,,,2018_feb_10_1729,470.878595325,stroop,001,ela,
green,red,0,g,0,5,5,5,g,1,1.38419389725,,,2018_feb_10_1729,470.878595325,stroop,001,ela,
blue,yellow,0,b,0,6,6,6,b,1,1.98027777672,,,2018_feb_10_1729,470.878595325,stroop,001,ela,
red,green,0,r,0,7,7,7,r,1,1.62332201004,,,2018_feb_10_1729,470.878595325,stroop,001,ela,
blue,red,0,b,0,8,8,8,b,1,1.70975494385,,,2018_feb_10_1729,470.878595325,stroop,001,ela,
yellow,yellow,1,y,0,9,9,9,y,1,0.69907784462,,,2018_feb_10_1729,470.878595325,stroop,001,ela,
red,yellow,0,r,0,10,10,10,r,1,1.21203899384,,,2018_feb_10_1729,470.878595325,stroop,001,ela,
yellow,green,0,y,0,11,11,11,y,1,1.42528796196,,,2018_feb_10_1729,470.878595325,stroop,001,ela,
blue,blue,1,b,0,12,12,12,b,1,0.809180021286,,,2018_feb_10_1729,470.878595325,stroop,001,ela,
green,yellow,0,g,0,13,13,13,g,1,1.82924890518,,,2018_feb_10_1729,470.878595325,stroop,001,ela,
blue,green,0,b,0,14,14,14,b,1,1.60313892365,,,2018_feb_10_1729,470.878595325,stroop,001,ela,
yellow,blue,0,y,0,15,15,15,y,1,1.90098810196,,,2018_feb_10_1729,470.878595325,stroop,001,ela,
,,,,,,,,,,,b,1.45076298714,2018_feb_10_1729,470.878595325,stroop,001,ela,
